Timestamp,Callsign,BaseCallsign,GridSquare,Frequency,Mode,Baud,Power,Height,Gain,Direction,OperatingHours,ServiceCode
/Date(1623441660000-0000)/,OE3XEC,OE3XEC,JN78LC,3617500,17,600,100,25,0,0,00-23,PUBLIC
/Date(1623441660000-0000)/,OE3XEC,OE3XEC,JN78LC,3617500,43,600,100,25,0,0,00-23,PUBLIC
/Date(1623441660000-0000)/,OE3XEC,OE3XEC,JN78LC,3617500,50,600,100,25,0,0,00-23,PUBLIC
/Date(1623441660000-0000)/,OE3XEC,OE3XEC,JN78LC,10146500,12,600,100,25,0,0,00-23,PUBLIC
/Date(1623441660000-0000)/,OE3XEC,OE3XEC,JN78LC,10146500,53,600,100,25,0,0,00-23,PUBLIC
/Date(1623445860000-0000)/,OE3XKL,OE3XKL,JN78KE,144550000,51,1200,25,25,0,0,00-23,PUBLIC
/Date(1623445860000-0000)/,OE3XKL-10,OE3XKL,JN78KE,144550000,0,1200,25,25,0,0,00-23,PUBLIC
/Date(1623443220000-0000)/,OE3XNR-10,OE3XNR,JN78JQ,438225000,0,1200,25,25,0,0,00-23,PUBLIC
/Date(1623443220000-0000)/,OE3XNR-11,OE3XNR,JN78JQ,438225000,51,1200,25,25,0,0,00-23,PUBLIC
/Date(1623445020000-0000)/,OE3XPA-11,OE3XPA,JN78SB,438550000,0,1200,5,10,3,0,00-23,PUBLIC
/Date(1623448140000-0000)/,OE5XDN,OE5XDN,JN68QG,144550000,51,1200,25,25,0,0,00-23,PUBLIC
/Date(1623448140000-0000)/,OE5XDN-10,OE5XDN,JN68QG,144550000,0,1200,25,25,0,0,00-23,PUBLIC
/Date(1623449880000-0000)/,OE5XFR-10,OE5XFR,JN67RX,438200000,0,1200,25,25,0,0,00-23,PUBLIC
/Date(1623445920000-0000)/,OE5XIR,OE5XIR,JN78AE,3605500,17,600,100,25,0,0,00-23,PUBLIC
/Date(1623445920000-0000)/,OE5XIR,OE5XIR,JN78AE,3605500,43,600,100,25,0,0,00-23,PUBLIC
/Date(1623445920000-0000)/,OE5XIR,OE5XIR,JN78AE,3605500,50,600,100,25,0,0,00-23,PUBLIC
/Date(1623445020000-0000)/,OE5XUL-11,OE5XUL,JN68SE,438200000,0,1200,5,10,3,0,00-23,PUBLIC
/Date(1623445020000-0000)/,OE5XUL-11,OE5XUL,JN68SE,438200000,3,9600,5,10,3,0,00-23,PUBLIC
/Date(1623446460000-0000)/,OE6XPD,OE6XPD,JN76US,3598500,17,600,100,25,0,0,06-17,PUBLIC
/Date(1623446460000-0000)/,OE6XPD,OE6XPD,JN76US,3598500,50,600,100,25,0,0,06-17,PUBLIC
/Date(1623446460000-0000)/,OE6XPD,OE6XPD,JN76US,3601500,17,600,100,25,0,0,06-17,PUBLIC
/Date(1623446460000-0000)/,OE6XPD,OE6XPD,JN76US,3601500,43,600,100,25,0,0,06-17,PUBLIC
/Date(1623446460000-0000)/,OE6XPD,OE6XPD,JN76US,3601500,50,600,100,25,0,0,06-17,PUBLIC
/Date(1623446460000-0000)/,OE6XPD,OE6XPD,JN76US,7048500,17,600,100,25,0,0,06-17,PUBLIC
/Date(1623446460000-0000)/,OE6XPD,OE6XPD,JN76US,7048500,50,600,100,25,0,0,06-17,PUBLIC
/Date(1623446460000-0000)/,OE6XPD,OE6XPD,JN76US,7057500,17,600,100,25,0,0,06-17,PUBLIC
/Date(1623446460000-0000)/,OE6XPD,OE6XPD,JN76US,7057500,43,600,100,25,0,0,06-17,PUBLIC
/Date(1623446460000-0000)/,OE6XPD,OE6XPD,JN76US,7057500,50,600,100,25,0,0,06-17,PUBLIC
/Date(1623445920000-0000)/,OE7KUT,OE7KUT,JN57MH,144900000,51,1200,10,25,0,0,00-23,PUBLIC
/Date(1623445920000-0000)/,OE7KUT-10,OE7KUT,JN57MH,144900000,0,1200,10,25,0,0,00-23,PUBLIC
