Date,Open,High,Low,Close,Adj Close,Volume
2020-06-09,28.219999,28.570000,27.959999,28.330000,27.774988,5101600
2020-06-10,28.420000,28.750000,28.230000,28.500000,27.941658,7828800
2020-06-11,28.889999,29.240000,28.219999,28.340000,27.784790,3353900
2020-06-12,28.700001,28.850000,27.639999,28.120001,27.569103,4435600
2020-06-15,27.809999,28.600000,27.650000,28.580000,28.020090,2812400
2020-06-16,29.190001,29.299999,28.330000,28.639999,28.078915,3619800
2020-06-17,28.629999,29.100000,28.570000,28.740000,28.176956,1990600
2020-06-18,28.650000,29.090000,28.650000,29.059999,28.490685,1618000
2020-06-19,29.320000,29.459999,28.700001,28.709999,28.147543,3886000
2020-06-22,28.700001,29.209999,28.590000,29.190001,28.618141,2603600
2020-06-23,29.290001,29.580000,29.020000,29.030001,28.461275,2898300
2020-06-24,28.910000,28.969999,28.250000,28.400000,27.843616,2162000
2020-06-25,28.370001,28.600000,28.180000,28.400000,27.843616,5781400
2020-06-26,28.360001,28.590000,28.059999,28.219999,27.667141,5824200
2020-06-29,28.340000,28.480000,27.920000,28.299999,27.745575,2370900
2020-06-30,28.280001,28.450001,28.139999,28.400000,27.843616,3112000
2020-07-01,28.360001,28.770000,28.320000,28.670000,28.257576,2061500
2020-07-02,28.860001,28.860001,28.450001,28.530001,28.119589,2339000
2020-07-06,28.650000,28.730000,28.340000,28.559999,28.149155,1844500
2020-07-07,28.629999,29.500000,28.570000,29.120001,28.701101,3496200
2020-07-08,29.000000,29.070000,28.450001,28.610001,28.198439,2688100
2020-07-09,29.260000,29.900000,29.000000,29.000000,28.582827,4159100
2020-07-10,29.030001,29.209999,28.760000,29.200001,28.779951,1842600
2020-07-13,29.320000,29.420000,28.879999,28.920000,28.503977,1981800
2020-07-14,28.809999,29.379999,28.750000,29.340000,28.917936,1370300
2020-07-15,29.540001,29.600000,29.270000,29.420000,28.996784,1545000
2020-07-16,29.450001,29.660000,29.320000,29.559999,29.134771,1414800
2020-07-17,29.570000,29.799999,29.420000,29.780001,29.351606,1973600
2020-07-20,29.780001,29.950001,29.690001,29.770000,29.341753,2022400
2020-07-21,30.000000,30.000000,29.680000,29.879999,29.450167,2326600
2020-07-22,30.030001,30.370001,29.840000,30.299999,29.864126,1884900
2020-07-23,30.299999,30.420000,30.160000,30.270000,29.834558,1435700
2020-07-24,30.160000,30.370001,30.049999,30.340000,29.903551,999400
2020-07-27,30.540001,30.969999,30.490000,30.959999,30.514631,1742900
2020-07-28,31.000000,31.100000,30.719999,30.889999,30.445639,2406400
2020-07-29,31.180000,31.469999,30.959999,31.260000,30.810316,2810100
2020-07-30,30.920000,31.000000,29.990000,30.770000,30.327366,3639100
2020-07-31,31.190001,31.250000,30.420000,30.590000,30.149954,3826100
2020-08-03,30.010000,30.219999,29.670000,29.920000,29.489594,6314700
2020-08-04,29.809999,30.129999,29.780001,29.950001,29.519161,2748500
2020-08-05,29.969999,30.010000,29.850000,29.930000,29.499449,2765500
2020-08-06,29.980000,29.980000,29.740000,29.830000,29.400887,1803300
2020-08-07,29.920000,29.990000,29.549999,29.629999,29.203764,2369100
2020-08-10,29.490000,29.830000,29.330000,29.760000,29.331894,3145500
2020-08-11,29.770000,29.940001,29.480000,29.570000,29.144627,2590600
2020-08-12,29.730000,30.280001,29.629999,30.110001,29.676859,2832800
2020-08-13,30.160000,30.540001,30.090000,30.160000,29.726139,2916600
2020-08-14,30.170000,30.170000,29.760000,29.889999,29.460024,3783200
2020-08-17,29.900000,30.150000,29.730000,29.750000,29.322039,1970500
2020-08-18,28.740000,29.260000,28.350000,29.100000,28.681387,22699100
